Case number,Prompting technique,Model,Matched,Diff found,Well formed,Functionally equivalent,BLEU score
1,fscot,gpt-4o-mini,True,False,True,True,1.0
1,fscot,gpt-4o,True,False,True,True,1.0
1,fscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
1,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,fs,gpt-4o-mini,True,False,True,True,1.0
1,fs,gpt-4o,True,False,True,True,1.0
1,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5706745777055999
1,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,pc,gpt-4o-mini,True,False,True,True,1.0
1,pc,gpt-4o,True,False,True,True,1.0
1,pc,llama-v3p2-11b-vision-instruct,True,False,True,True,0.81903625881272
1,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,0.81903625881272
1,zscot,gpt-4o-mini,True,True,True,False,0.6360188027707555
1,zscot,gpt-4o,True,False,True,True,1.0
1,zscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
1,zscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
1,zs,gpt-4o-mini,True,False,True,True,1.0
1,zs,gpt-4o,True,False,True,True,1.0
1,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,0.81903625881272
1,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
10,fscot,gpt-4o-mini,True,True,True,False,0.7539221180326288
10,fscot,gpt-4o,True,True,True,False,0.758292326972591
10,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.784757484773875
10,fscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7539221180326288
10,fs,gpt-4o-mini,True,True,True,False,0.7539221180326288
10,fs,gpt-4o,True,True,True,False,0.7539221180326288
10,fs,llama-v3p2-11b-vision-instruct,True,True,False,False,0.7254204378043243
10,fs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7305160846304078
10,pc,gpt-4o-mini,True,True,True,False,0.702899258770329
10,pc,gpt-4o,True,True,True,False,0.6774288846573827
10,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.3449529571604177
10,pc,llama-v3p2-90b-vision-instruct,True,True,True,False,0.702899258770329
10,zscot,gpt-4o-mini,True,True,True,False,0.758292326972591
10,zscot,gpt-4o,True,True,True,False,0.7305160846304078
10,zscot,llama-v3p2-11b-vision-instruct,True,True,False,False,0.5523722682139371
10,zscot,llama-v3p2-90b-vision-instruct,True,True,False,False,0.6728896917251863
10,zs,gpt-4o-mini,True,True,True,False,0.758292326972591
10,zs,gpt-4o,True,True,True,False,0.7206384826922908
10,zs,llama-v3p2-11b-vision-instruct,True,True,False,False,0.633228937255162
10,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7206384826922908
2,fscot,gpt-4o-mini,True,False,True,True,1.0
2,fscot,gpt-4o,True,False,True,True,1.0
2,fscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
2,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
2,fs,gpt-4o-mini,True,False,True,True,1.0
2,fs,gpt-4o,True,False,True,True,1.0
2,fs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
2,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
2,pc,gpt-4o-mini,True,True,True,False,0.6540585844910979
2,pc,gpt-4o,True,False,True,True,1.0
2,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.5367088830805397
2,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
2,zscot,gpt-4o-mini,True,False,True,True,1.0
2,zscot,gpt-4o,True,False,True,True,1.0
2,zscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.3751840463233443
2,zscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.6298129992394241
2,zs,gpt-4o-mini,True,False,True,True,1.0
2,zs,gpt-4o,True,False,True,True,1.0
2,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
2,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.6298129992394241
3,fscot,gpt-4o-mini,True,False,True,True,1.0
3,fscot,gpt-4o,True,False,True,True,1.0
3,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.7598356856515925
3,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
3,fs,gpt-4o-mini,True,False,True,True,1.0
3,fs,gpt-4o,True,False,True,True,1.0
3,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.249219515462995
3,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
3,pc,gpt-4o-mini,True,False,True,True,0.9193227152249184
3,pc,gpt-4o,True,False,True,True,0.9193227152249184
3,pc,llama-v3p2-11b-vision-instruct,False,False,True,False,0.4297641362823878
3,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
3,zscot,gpt-4o-mini,True,False,True,True,0.9193227152249184
3,zscot,gpt-4o,True,False,True,True,0.9193227152249184
3,zscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
3,zscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.7598356856515925
3,zs,gpt-4o-mini,True,False,True,True,1.0
3,zs,gpt-4o,True,False,True,True,1.0
3,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,0.9193227152249184
3,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,0.9193227152249184
4,fscot,gpt-4o-mini,True,False,True,True,1.0
4,fscot,gpt-4o,True,False,True,True,1.0
4,fscot,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
4,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
4,fs,gpt-4o-mini,True,False,True,True,1.0
4,fs,gpt-4o,True,False,True,True,1.0
4,fs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
4,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
4,pc,gpt-4o-mini,True,False,True,True,1.0
4,pc,gpt-4o,True,False,True,True,1.0
4,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.4121183751323027
4,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,0.8761560783209453
4,zscot,gpt-4o-mini,True,False,True,True,1.0
4,zscot,gpt-4o,True,False,True,True,1.0
4,zscot,llama-v3p2-11b-vision-instruct,True,True,False,False,0.5990228521313676
4,zscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
4,zs,gpt-4o-mini,True,False,True,True,1.0
4,zs,gpt-4o,True,False,True,True,1.0
4,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
4,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
5,fscot,gpt-4o-mini,True,True,True,False,0.5018721376353553
5,fscot,gpt-4o,True,False,True,True,1.0
5,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5494279137107098
5,fscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5018721376353553
5,fs,gpt-4o-mini,True,False,True,True,0.7389984311706962
5,fs,gpt-4o,True,False,True,True,1.0
5,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5018721376353553
5,fs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5018721376353553
5,pc,gpt-4o-mini,True,False,True,True,1.0
5,pc,gpt-4o,True,False,True,True,1.0
5,pc,llama-v3p2-11b-vision-instruct,True,True,True,False,0.682449197666817
5,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
5,zscot,gpt-4o-mini,True,False,True,True,0.8725129388059689
5,zscot,gpt-4o,True,False,True,True,1.0
5,zscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5494279137107098
5,zscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5494279137107098
5,zs,gpt-4o-mini,True,True,True,False,0.5018721376353553
5,zs,gpt-4o,True,False,True,True,1.0
5,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
5,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5494279137107098
6,fscot,gpt-4o-mini,True,True,True,False,0.8191692732318533
6,fscot,gpt-4o,True,False,True,True,1.0
6,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6004981752197522
6,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
6,fs,gpt-4o-mini,True,True,True,False,0.7076534431960262
6,fs,gpt-4o,True,False,True,True,1.0
6,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.4215503093673728
6,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
6,pc,gpt-4o-mini,True,True,True,False,0.8191692732318533
6,pc,gpt-4o,True,False,True,True,1.0
6,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.0429774670362579
6,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,0.7267072830982378
6,zscot,gpt-4o-mini,True,False,True,True,1.0
6,zscot,gpt-4o,True,True,True,False,0.8191692732318533
6,zscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.7788007830714049
6,zscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.8191692732318533
6,zs,gpt-4o-mini,True,True,True,False,0.8191692732318533
6,zs,gpt-4o,True,True,True,False,0.8191692732318533
6,zs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6718520792451593
6,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.8191692732318533
7,fscot,gpt-4o-mini,True,True,False,False,0.7677331684336531
7,fscot,gpt-4o,True,False,True,True,1.0
7,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.5923033072023249
7,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
7,fs,gpt-4o-mini,True,False,True,True,1.0
7,fs,gpt-4o,True,False,True,True,1.0
7,fs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
7,fs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
7,pc,gpt-4o-mini,True,False,True,True,1.0
7,pc,gpt-4o,True,False,True,True,1.0
7,pc,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6850836912969523
7,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
7,zscot,gpt-4o-mini,True,False,True,True,1.0
7,zscot,gpt-4o,True,False,True,True,1.0
7,zscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6703420896351792
7,zscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
7,zs,gpt-4o-mini,True,False,True,True,1.0
7,zs,gpt-4o,True,False,True,True,1.0
7,zs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6850836912969523
7,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
8,fscot,gpt-4o-mini,True,True,True,False,0.6360188027707555
8,fscot,gpt-4o,True,True,True,False,0.6360188027707555
8,fscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6360188027707555
8,fscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
8,fs,gpt-4o-mini,True,True,True,False,0.6360188027707555
8,fs,gpt-4o,True,True,True,False,0.6360188027707555
8,fs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.4421973227177667
8,fs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.6360188027707555
8,pc,gpt-4o-mini,True,False,True,True,0.3290385879986622
8,pc,gpt-4o,True,False,True,True,0.2682243610927599
8,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.2572558259264595
8,pc,llama-v3p2-90b-vision-instruct,True,False,True,True,0.2682243610927599
8,zscot,gpt-4o-mini,True,False,True,True,1.0
8,zscot,gpt-4o,True,False,True,True,0.2682243610927599
8,zscot,llama-v3p2-11b-vision-instruct,True,True,True,False,0.6360188027707555
8,zscot,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
8,zs,gpt-4o-mini,True,False,True,True,1.0
8,zs,gpt-4o,True,False,True,True,0.3290385879986622
8,zs,llama-v3p2-11b-vision-instruct,True,False,True,True,1.0
8,zs,llama-v3p2-90b-vision-instruct,True,False,True,True,1.0
9,fscot,gpt-4o-mini,True,True,True,False,0.5504239374309389
9,fscot,gpt-4o,True,True,True,False,0.5504239374309389
9,fscot,llama-v3p2-11b-vision-instruct,True,True,False,False,0.4817860759505787
9,fscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5769303578623891
9,fs,gpt-4o-mini,True,True,False,False,0.4817860759505787
9,fs,gpt-4o,True,True,True,False,0.5504239374309389
9,fs,llama-v3p2-11b-vision-instruct,True,True,False,False,0.509943352037387
9,fs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5504239374309389
9,pc,gpt-4o-mini,True,True,True,False,0.8331095532848012
9,pc,gpt-4o,True,True,True,False,0.8331095532848012
9,pc,llama-v3p2-11b-vision-instruct,True,True,False,False,0.2037660081929479
9,pc,llama-v3p2-90b-vision-instruct,True,True,True,False,0.6637935392254761
9,zscot,gpt-4o-mini,True,True,True,False,0.5504239374309389
9,zscot,gpt-4o,True,True,True,False,0.8331095532848012
9,zscot,llama-v3p2-11b-vision-instruct,True,True,False,False,0.2216800993064075
9,zscot,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5769303578623891
9,zs,gpt-4o-mini,True,True,True,False,0.5504239374309389
9,zs,gpt-4o,True,True,True,False,0.7598869303480518
9,zs,llama-v3p2-11b-vision-instruct,True,True,True,False,0.245219309851682
9,zs,llama-v3p2-90b-vision-instruct,True,True,True,False,0.5769303578623891
